TRAB_RENDA_BRUTA,TRAB_AREA,TRAB_OCUPACAO,CAMPUS,CURSO,ANO_CONCLUSAO,Sheet,MODALIDADE,NOME_DATAFRAME
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Nova Cruz,Técnico em Química,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(1) Trabalham,Macau,Especialização em Ensino de Ciências Naturais e Matemática Semipresencial,2017,PAE2018-2019_selected_data_renamed.xlsx,Especialização,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Natal - Central,Técnico em Mineração,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Ipanguaçu,Técnico em Manutenção e Suporte em Informática,2014,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Pau dos Ferros,Técnico em Informática,2015,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Parnamirim,Técnico em Redes de Computadores,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Cidade Alta,Técnico em Guia de Turismo,2014,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Sim, totalmente na área (exerce a profissão)",(2) Trabalham e estudam,Natal - Cidade Alta,Técnico em Eventos,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(2) Trabalham e estudam,Natal - Central,Técnico em Edificações,2018,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,São Gonçalo do Amarante,Técnico em Logística,2017,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
(01) Até 1 salário mínimo,"Parcialmente na área, tem correlação com a formação",(1) Trabalham,Educação à Distância (EaD),Especialização em Literatura e Ensino,2015,PAE2018-2019_selected_data_renamed.xlsx,Especialização,PAE2018-2019
(01) Até 1 salário mínimo,"Não, meu trabalho é em outra área de formação",(2) Trabalham e estudam,Natal - Zona Norte,Técnico em Comércio,2016,PAE2018-2019_selected_data_renamed.xlsx,Técnico Subsequente,PAE2018-2019
